                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.05378,                0.83732,                0.96651,                 2.2033,               0.003466,               0.003466,               0.003466
                     68,                0.05289,                0.83493,                 0.9689,                 2.2164,               0.003367,               0.003367,               0.003367
                     69,                0.05413,                0.82775,                 0.9689,                 2.2093,               0.003268,               0.003268,               0.003268
                     70,                0.05335,                0.83732,                0.96531,                 2.2086,               0.003169,               0.003169,               0.003169
                     71,                0.04831,                0.83493,                 0.9689,                 2.1973,                0.00307,                0.00307,                0.00307
                     72,                0.04302,                0.83493,                0.96531,                 2.2082,               0.002971,               0.002971,               0.002971
                     73,                0.04637,                0.83852,                0.96053,                 2.1998,               0.002872,               0.002872,               0.002872
                     74,                0.04253,                0.83732,                0.96172,                 2.2005,               0.002773,               0.002773,               0.002773
                     75,                0.03902,                0.83852,                0.96411,                 2.2074,               0.002674,               0.002674,               0.002674
                     76,                0.04054,                0.84091,                0.96411,                  2.195,               0.002575,               0.002575,               0.002575
                     77,                0.03186,                0.84211,                 0.9689,                 2.1944,               0.002476,               0.002476,               0.002476
                     78,                0.03565,                0.85287,                 0.9677,                 2.1973,               0.002377,               0.002377,               0.002377
                     79,                0.03536,                 0.8445,                0.97249,                 2.2009,               0.002278,               0.002278,               0.002278
                     80,                0.04207,                0.84809,                 0.9689,                 2.1992,               0.002179,               0.002179,               0.002179
                     81,                0.03606,                0.84569,                 0.9677,                 2.1981,                0.00208,                0.00208,                0.00208
                     82,                0.03924,                0.85407,                 0.9689,                 2.2016,               0.001981,               0.001981,               0.001981
                     83,                  0.032,                 0.8433,                 0.9689,                 2.2002,               0.001882,               0.001882,               0.001882
                     84,                0.03212,                0.83852,                 0.9689,                  2.197,               0.001783,               0.001783,               0.001783
                     85,                0.03107,                0.83852,                0.97129,                 2.2027,               0.001684,               0.001684,               0.001684
                     86,                0.03107,                0.84211,                0.97129,                 2.1926,               0.001585,               0.001585,               0.001585
                     87,                0.03248,                0.84211,                0.97249,                 2.2041,               0.001486,               0.001486,               0.001486
                     88,                0.03502,                0.84689,                 0.9701,                 2.1928,               0.001387,               0.001387,               0.001387
                     89,                0.03116,                 0.8445,                 0.9689,                 2.1954,               0.001288,               0.001288,               0.001288
                     90,                0.02834,                 0.8445,                0.97129,                 2.2016,               0.001189,               0.001189,               0.001189
                     91,                0.02815,                0.84689,                0.97129,                 2.1916,                0.00109,                0.00109,                0.00109
                     92,                0.02745,                0.85048,                 0.9677,                 2.1904,               0.000991,               0.000991,               0.000991
                     93,                0.02926,                0.85167,                 0.9677,                 2.1878,               0.000892,               0.000892,               0.000892
                     94,                0.02859,                0.85287,                 0.9689,                 2.1885,               0.000793,               0.000793,               0.000793
                     95,                0.02382,                0.84689,                 0.9689,                 2.1893,               0.000694,               0.000694,               0.000694
                     96,                0.02476,                0.84689,                 0.9689,                 2.1942,               0.000595,               0.000595,               0.000595
                     97,                0.02521,                 0.8433,                 0.9701,                  2.201,               0.000496,               0.000496,               0.000496
                     98,                 0.0292,                 0.8433,                 0.9701,                 2.2129,               0.000397,               0.000397,               0.000397
                     99,                0.02422,                 0.8433,                0.97129,                  2.192,               0.000298,               0.000298,               0.000298
                    100,                0.02803,                 0.8433,                0.97129,                 2.1887,               0.000199,               0.000199,               0.000199
